// Compost colors for re_endergy. You may add your own colors, change existing ones, or remove colors that aren't needed.
alloy_ball_construction_alloy, #79797f
alloy_ball_crystalline_alloy, #91dddd
alloy_ball_crystalline_pink_slime, #e8aade
alloy_ball_energetic_silver, #a8cce6
alloy_ball_melodic_alloy, #a072a0
alloy_ball_stellar_alloy, #ffffff
alloy_ball_vivid_alloy, #65d9f5
capacitor_crystalline, #edfffc
capacitor_energetic_silver, #f1fffa
capacitor_grainy, #ffffff
capacitor_melodic, #fffff2
capacitor_silver, #f2fff8
capacitor_stellar, #ffffff
capacitor_vivid, #f0fffe
construction_alloy_ingot, #6f7075
construction_alloy_nugget, #75797d
crude_steel_ball, #aca7a2
crude_steel_ingot, #bbb2ab
crude_steel_nugget, #ffffff
crystalline_alloy_ingot, #9aedeb
crystalline_alloy_nugget, #ffffff
crystalline_pink_slime_ingot, #f59ee8
crystalline_pink_slime_nugget, #ffffff
energetic_silver_ingot, #6491a0
energetic_silver_nugget, #ffffff
melodic_alloy_ingot, #c282bf
melodic_alloy_nugget, #ffffff
stellar_alloy_ingot, #eefce4
stellar_alloy_nugget, #fafae7
vivid_alloy_ingot, #55c6e4
vivid_alloy_nugget, #ffffff
